"","miRNA","mRNA"
"1","miR-200b-3p","DEK"
"2","miR-200b-3p","PELO"
"3","miR-200b-3p","FBN2"
"4","miR-200b-3p","MAN2A1"
"5","miR-200b-3p","RNF160"
"6","miR-200b-3p","SEC24A"
"7","miR-200b-3p","RSRC2"
"8","miR-200b-3p","RCCD1"
"9","miR-200b-3p","ICK"
"10","miR-200b-3p","ASXL1"
"11","miR-200b-3p","GIGYF1"
"12","miR-200b-3p","TRIM52"
"13","miR-200b-3p","NPTX1"
"14","miR-200b-3p","UBLCP1"
"15","miR-200b-3p","DPY19L1"
"16","miR-200b-3p","LYPLA2"
"17","miR-200b-3p","EIF2S1"
"18","miR-200b-3p","HERC2"
"19","miR-200b-3p","IFT88"
"20","miR-200b-3p","MTF2"
"21","miR-200b-3p","BTBD1"
"22","miR-200b-3p","CASC4"
"23","miR-200b-3p","C15orf61"
"24","miR-200b-3p","SUPT3H"
"25","miR-200b-3p","WDR17"
"26","miR-200b-3p","GMFB"
"27","miR-200b-3p","CPT1A"
"28","miR-200b-3p","PKD1"
"29","miR-200b-3p","C10orf6"
"30","miR-200b-3p","CASP3"
"31","miR-200b-3p","PPM1D"
"32","miR-200b-3p","CUX1"
"33","miR-200b-3p","DDIT4"
"34","miR-200b-3p","RECK"
"35","miR-200b-3p","IL6ST"
"36","miR-200b-3p","LIG4"
"37","miR-200b-3p","STK10"
"38","miR-200b-3p","FAM105B"
"39","miR-200b-3p","SWAP70"
"40","miR-200b-3p","CBL"
"41","miR-200b-3p","IFNGR2"
"42","miR-200b-3p","PTBP1"
"43","miR-200b-3p","FLJ20232"
"44","miR-200b-3p","TRIO"
"45","miR-200b-3p","DDX3Y"
"46","miR-200b-3p","NACC2"
"47","miR-200b-3p","HMGB2"
"48","miR-200b-3p","PAPOLA"
"49","miR-200b-3p","FKBP9L"
"50","miR-200b-3p","CEP97"
"51","miR-200b-3p","MREG"
"52","miR-200b-3p","ZEB2"
"53","miR-200b-3p","GALNT2"
"54","miR-200b-3p","STK17A"
"55","miR-200b-3p","TTF2"
"56","miR-200b-3p","GATAD1"
"57","miR-200b-3p","PPP1R12A"
"58","miR-200b-3p","R3HDM2"
"59","miR-200b-3p","ARIH1"
"60","miR-200b-3p","PPARA"
"61","miR-200b-3p","ORC2L"
"62","miR-200b-3p","RPL36A-HNRNPH2"
"63","miR-200b-3p","FAM127A"
"64","miR-200b-3p","RICTOR"
"65","miR-200b-3p","MPDZ"
"66","miR-200b-3p","RFXDC2"
"67","miR-200b-3p","DOT1L"
"68","miR-200b-3p","FAM133A"
"69","miR-200b-3p","KIAA1432"
"70","miR-200b-3p","BTF3L4"
"71","miR-200b-3p","LHFPL2"
"72","miR-200b-3p","MEX3C"
"73","miR-200b-3p","PLXNA2"
"74","miR-200b-3p","L3MBTL3"
"75","miR-200b-3p","ZC3H11A"
"76","miR-200b-3p","EXOSC3"
"77","miR-200b-3p","SERINC3"
"78","miR-200b-3p","PDS5B"
"79","miR-200b-3p","UBE1L2"
"80","miR-200b-3p","PPM1B"
"81","miR-200b-3p","ZNF267"
"82","miR-200b-3p","HNRNPD"
"83","miR-200b-3p","EIF4A1"
"84","miR-200b-3p","COPA"
"85","miR-200b-3p","CSF1"
"86","miR-200b-3p","TMEM192"
"87","miR-200b-3p","LYPD6"
"88","miR-200b-3p","TRAF6"
"89","miR-200b-3p","MS4A1"
"90","miR-200b-3p","LCOR"
"91","miR-200b-3p","DLEU1"
"92","miR-200b-3p","TAX1BP1"
"93","miR-200b-3p","ANKRD52"
"94","miR-200b-3p","ENOPH1"
"95","miR-200b-3p","TPP2"
"96","miR-200b-3p","TIMP2"
"97","miR-200b-3p","TARDBP"
"98","miR-200b-3p","ACVR2A"
"99","miR-200b-3p","ZFP36L2"
"100","miR-200b-3p","ABHD10"
"101","miR-200b-3p","COL4A3"
"102","miR-200b-3p","CDC73"
"103","miR-200b-3p","SACM1L"
"104","miR-200b-3p","RBFOX2"
"105","miR-200b-3p","TMEM188"
"106","miR-200b-3p","TUBD1"
"107","miR-200b-3p","RAD51AP1"
"108","miR-200b-3p","TMEM57"
"109","miR-200b-3p","MARK1"
"110","miR-200b-3p","MATR3"
"111","miR-200b-3p","TRIM23"
"112","miR-200b-3p","MAP3K5"
"113","miR-200b-3p","WRNIP1"
"114","miR-200b-3p","ZNF302"
"115","miR-200b-3p","LOC100129196"
"116","miR-200b-3p","FBXL17"
"117","miR-200b-3p","NHSL1"
"118","miR-200b-3p","GAB1"
"119","miR-200b-3p","EIF2B1"
"120","miR-200b-3p","HNRPH1"
"121","miR-200b-3p","C11orf61"
"122","miR-200b-3p","SON"
"123","miR-200b-3p","BICD2"
"124","miR-200b-3p","CMTM1"
"125","miR-200b-3p","FAM149B1"
"126","miR-200b-3p","C1orf25"
"127","miR-200b-3p","KCTD2"
"128","miR-200b-3p","ANKRD28"
"129","miR-200b-3p","IMMP2L"
"130","miR-200b-3p","C10orf56"
"131","miR-200b-3p","PLCG1"
"132","miR-200b-3p","PRKAB2"
"133","miR-200b-3p","TMEM161B"
"134","miR-200b-3p","BHLHB5"
"135","miR-200b-3p","MCFD2"
"136","miR-200b-3p","ADAMTS1"
"137","miR-200b-3p","TMEM49"
"138","miR-200b-3p","USP42"
"139","miR-200b-3p","UBE2B"
"140","miR-200b-3p","PNRC2"
"141","miR-200b-3p","CTSC"
"142","miR-200b-3p","LASS6"
"143","miR-200b-3p","SESN1"
"144","miR-200b-3p","CITED2"
"145","miR-200b-3p","FXR2"
"146","miR-200b-3p","SCML1"
"147","miR-200b-3p","SH3BGRL"
"148","miR-200b-3p","RLF"
"149","miR-200b-3p","FOXK1"
"150","miR-200b-3p","SGEF"
"151","miR-200b-3p","C9orf41"
"152","miR-200b-3p","NPTN"
"153","miR-200b-3p","C14orf129"
"154","miR-200b-3p","LRIG1"
"155","miR-200b-3p","IKBIP"
"156","miR-200b-3p","KIAA0256"
"157","miR-200b-3p","DCBLD2"
"158","miR-200b-3p","ARID1B"
"159","miR-200b-3p","ELOVL6"
"160","miR-200b-3p","STK17B"
"161","miR-200b-3p","KCTD12"
"162","miR-200b-3p","ZNF260"
"163","miR-200b-3p","SPIN1"
"164","miR-200b-3p","ARL5A"
"165","miR-200b-3p","N4BP2"
"166","miR-200b-3p","ADCY7"
"167","miR-200b-3p","STRN"
"168","miR-200b-3p","STK4"
"169","miR-200b-3p","PPP3CB"
"170","miR-200b-3p","ITGB3"
"171","miR-200b-3p","ING2"
"172","miR-200b-3p","STIM2"
"173","miR-200b-3p","UBQLN1"
"174","miR-200b-3p","C1orf124"
"175","miR-200b-3p","NRAS"
"176","miR-200b-3p","XIAP"
"177","miR-200b-3p","PLDN"
"178","miR-200b-3p","PTPN14"
"179","miR-200b-3p","TMTC3"
"180","miR-200b-3p","DNAJB9"
"181","miR-200b-3p","FBXW11"
"182","miR-200b-3p","MGEA5"
"183","miR-200b-3p","CHORDC1"
"184","miR-200b-3p","CDC42SE1"
"185","miR-200b-3p","SYDE2"
"186","miR-200b-3p","YME1L1"
"187","miR-200b-3p","PIGP"
"188","miR-200b-3p","PPP2R1B"
"189","miR-200b-3p","C9orf16"
"190","miR-200b-3p","FUNDC1"
"191","miR-200b-3p","ACPL2"
"192","miR-200b-3p","TSPAN13"
"193","miR-200b-3p","ACY1L2"
"194","miR-200b-3p","EID1"
"195","miR-200b-3p","KDM4A"
"196","miR-200b-3p","NCAPG2"
"197","miR-200b-3p","OTUD6B"
"198","miR-200b-3p","NFIB"
"199","miR-200b-3p","TNPO1"
"200","miR-200b-3p","HNRNPH1"
"201","miR-200b-3p","SOS2"
"202","miR-200b-3p","FGF9"
"203","miR-200b-3p","SLTM"
"204","miR-200b-3p","SLC25A30"
"205","miR-200b-3p","SUZ12"
"206","miR-200b-3p","GSTCD"
"207","miR-200b-3p","BUB1B"
"208","miR-200b-3p","CNIH4"
"209","miR-200b-3p","ARL6IP6"
"210","miR-200b-3p","TBP"
"211","miR-200b-3p","MYLK"
"212","miR-200b-3p","FAM179B"
"213","miR-200b-3p","TMX1"
"214","miR-200b-3p","BAGE"
"215","miR-200b-3p","KIF23"
"216","miR-200b-3p","SSR3"
"217","miR-200b-3p","NOG"
"218","miR-200b-3p","EID2B"
"219","miR-200b-3p","HNRPLL"
"220","miR-200b-3p","LCLAT1"
"221","miR-200b-3p","SERPINE2"
"222","miR-200b-3p","MBTPS2"
"223","miR-200b-3p","GTF2H2B"
"224","miR-200b-3p","CCNL1"
"225","miR-200b-3p","ZNF529"
"226","miR-200b-3p","CRKL"
"227","miR-200b-3p","TMEM185B"
"228","miR-200b-3p","TMEM56"
"229","miR-200b-3p","REV1L"
"230","miR-200b-3p","ZBTB44"
"231","miR-200b-3p","RNF170"
"232","miR-200b-3p","GALNT3"
"233","miR-200b-3p","ITFG1"
"234","miR-200b-3p","PARP8"
"235","miR-200b-3p","FEZ2"
"236","miR-200b-3p","AKTIP"
"237","miR-200b-3p","TOB1"
"238","miR-200b-3p","USP6NL"
"239","miR-200b-3p","PPP4R2"
"240","miR-200b-3p","TRIM4"
"241","miR-200b-3p","SEPT11"
"242","miR-200b-3p","ARID2"
"243","miR-200b-3p","FLJ40432"
"244","miR-200b-3p","HIPK1"
"245","miR-200b-3p","TMEM129"
"246","miR-200b-3p","ENPP2"
"247","miR-200b-3p","RUNX1"
"248","miR-200b-3p","AMOTL2"
"249","miR-200b-3p","ZDHHC23"
"250","miR-200b-3p","ZNF548"
"251","miR-200b-3p","OAZ2"
"252","miR-200b-3p","TGFBR3"
"253","miR-200b-3p","DHX36"
"254","miR-200b-3p","CHMP2B"
"255","miR-200b-3p","CBX5"
"256","miR-200b-3p","VEZF1"
"257","miR-200b-3p","C4orf27"
"258","miR-200b-3p","LY75"
"259","miR-200b-3p","SNX30"
"260","miR-200b-3p","SLC39A14"
"261","miR-200b-3p","HOXA5"
"262","miR-200b-3p","UBE2D1"
"263","miR-200b-3p","FOXF1"
"264","miR-200b-3p","FBXW7"
"265","miR-200b-3p","SNORD45A"
"266","miR-200b-3p","KIDINS220"
"267","miR-200b-3p","KLF3"
"268","miR-200b-3p","HMG20A"
"269","miR-200b-3p","PPTC7"
"270","miR-200b-3p","ALDH1A1"
"271","miR-200b-3p","ITM2B"
"272","miR-200b-3p","BASP1"
"273","miR-200b-3p","GPATCH8"
"274","miR-200b-3p","ZFX"
"275","miR-200b-3p","RTN4"
"276","miR-200b-3p","SEMA6D"
"277","miR-200b-3p","UHRF1BP1"
"278","miR-200b-3p","SIX1"
"279","miR-200b-3p","ARHGAP18"
"280","miR-200b-3p","TMEM14A"
"281","miR-200b-3p","DCAF7"
"282","miR-200b-3p","CCDC43"
"283","miR-200b-3p","PPP1R9A"
"284","miR-200b-3p","ING3"
"285","miR-200b-3p","SGMS1"
"286","miR-200b-3p","RPS6KA2"
"287","miR-200b-3p","PPP1R2"
"288","miR-200b-3p","TMEM167B"
"289","miR-200b-3p","OTUD4"
"290","miR-200b-3p","KIAA0553"
"291","miR-200b-3p","ZMAT3"
"292","miR-200b-3p","CKAP4"
"293","miR-200b-3p","ANKRD40"
"294","miR-200b-3p","RAB27A"
"295","miR-200b-3p","SCD"
"296","miR-200b-3p","FUT4"
"297","miR-200b-3p","NUP160"
"298","miR-200b-3p","PFKP"
"299","miR-200b-3p","KIAA1033"
"300","miR-200b-3p","TMEM170A"
"301","miR-200b-3p","SEMA3F"
"302","miR-200b-3p","SMARCA1"
"303","miR-200b-3p","ZNF532"
"304","miR-200b-3p","KIF11"
"305","miR-200b-3p","DDX3X"
