"","miRNA","mRNA"
"1","miR-20a-5p","HIF1A"
"2","miR-146a-5p","CXCR4"
"3","miR-122-5p","CYP7A1"
"4","miR-222-3p","STAT5A"
"5","miR-21-5p","RASGRP1"
"6","miR-148a-3p","DNMT1"
"7","miR-93-5p","TP53INP1"
"8","miR-9-5p","MMP13"
"9","miR-9-5p","REST"
"10","miR-9-5p","CDH1"
"11","miR-765","NTRK3"
"12","miR-7-5p","SNCA"
"13","miR-661","MTA1"
"14","miR-659-3p","GRN"
"15","miR-562","EYA1"
"16","miR-559","ERBB2"
"17","miR-548d-3p","ERBB2"
"18","miR-532-5p","RUNX3"
"19","miR-504-5p","DRD1"
"20","miR-485-3p","NTRK3"
"21","miR-451a","MIF"
"22","miR-429","ZEB2"
"23","miR-375","TIMM8A"
"24","miR-375","MTPN"
"25","miR-375","PDK1"
"26","miR-373-3p","RAD23B"
"27","miR-372-3p","WEE1"
"28","miR-372-3p","TRPS1"
"29","miR-372-3p","MBNL2"
"30","miR-372-3p","KLF13"
"31","miR-34b-5p","BCL2"
"32","miR-34b-5p","CREB1"
"33","miR-34a-5p","BIRC3"
"34","miR-34a-5p","GRM7"
"35","miR-34a-5p","JAG1"
"36","miR-346","EFEMP2"
"37","miR-328-3p","BACE1"
"38","miR-328-3p","ABCG2"
"39","miR-326","GLI1"
"40","miR-31-5p","RHOA"
"41","miR-302d-3p","TRPS1"
"42","miR-302d-3p","MBNL2"
"43","miR-302d-3p","KLF13"
"44","miR-29b-3p","TGFB3"
"45","miR-29b-3p","HDAC4"
"46","miR-29b-3p","CTNNBIP1"
"47","miR-29b-3p","COL5A3"
"48","miR-29b-3p","COL4A2"
"49","miR-29b-3p","COL1A1"
"50","miR-298","BACE1"
"51","miR-27a-3p","RUNX1"
"52","miR-26a-5p","HMGA2"
"53","miR-26a-5p","HMGA1"
"54","miR-26a-5p","CCNE2"
"55","miR-26a-5p","CCND2"
"56","miR-24-3p","FEN1"
"57","miR-24-3p","CDK4"
"58","miR-24-3p","CCNA2"
"59","miR-24-3p","AURKB"
"60","miR-24-3p","MYC"
"61","miR-24-3p","E2F2"
"62","miR-223-3p","MEF2C"
"63","miR-223-3p","STMN1"
"64","miR-223-3p","LMO2"
"65","miR-222-3p","CDKN1B"
"66","miR-222-3p","BCL2L11"
"67","miR-222-3p","SOD2"
"68","miR-222-3p","MMP1"
"69","miR-221-3p","CDKN1B"
"70","miR-221-3p","BCL2L11"
"71","miR-221-3p","BMF"
"72","miR-217","SIRT1"
"73","miR-214-3p","EZH2"
