field,required,description,master_implication
local_item_id,yes,ID cục bộ ITEM-01 trong HTML,Không phải ID Master
clinical_situation,yes,Tình huống tra nhanh,Không
topic,yes,Vấn đề lâm sàng cụ thể,Không
decision,yes,Áp dụng ngay|Cân nhắc chọn lọc|Chưa thay đổi thực hành,Không
priority,yes,Cao|Trung bình|Thấp,Không
do_now,yes,Hành động thực hành ngắn,Không
do_not_do,yes,Giới hạn hoặc điều tránh,Không
red_flags_referral,no,Cấp cứu hoặc chuyển tuyến nếu liên quan,Không
special_populations,no,Người cao tuổi CKD bệnh gan đa thuốc tim mạch ĐTĐ,Không
document,yes,Tên tài liệu gốc,Không
organization,yes,Tổ chức ban hành,Không
version_date,yes,Ngày hoặc phiên bản,Không
population,yes,Quần thể áp dụng,Không
new_point_or_recommendation,yes,Điểm mới hoặc khuyến cáo đã xác minh,Không
source_grading,yes,Grading nguyên bản hoặc nguồn không cung cấp,Không
operational_assessment_if_used,no,Đánh giá vận hành nếu sử dụng,Không
monitoring,no,Theo dõi nếu liên quan,Không
vietnam_application,yes,Áp dụng Việt Nam hoặc cần xác nhận đơn vị,Không
reference_vancouver_nlm,yes,Tham khảo đã xác minh,Không
verification_status,yes,Đã xác minh|Chưa đủ thay đổi,Không
